SPARKH,4,NYU LANGONE MEDICAL CENTER,20190415-113500,Sample 123-456-7890,NYU LANGONE MEDICAL CENTER,2,20190415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detail Record ID ,Employer Name ,Employer EIN ,Employer Plan ID  ,Employer Sub Plan ID ,Originating Vendor Plan ID,Originating Vendor Sub Plan ID ,Recipient Vendor Plan ID ,Recipient Vendor Sub Plan ID ,Type of Account ,Payroll Frequency ,Employee SSN,Employee ID,,FIRST NAME,MIDDLE NAME,LAST NAME,street,Apt/Suit,,City,State,zipcode,Country,Residency Code ,Employee DOB ,Gender ID,Marital Status ,Phone Number 1 ,Phone Number type 1,Phone Extension 1,Phone Number type 2,Phone Number 2,Phone Extension 2,Business Email Address ,Personal Email Address  ,Payroll Date,Contribution Source Code 1 ,Contribution Source Amount 1,Contribution Source Code 2,Contribution Source Amount 2,Contribution Source Code 3,Contribution Source Amount 3,Contribution Source Code 4,Contribution Source Amount 4,Contribution Source Code 5,Contribution Source Amount 5,Contribution Source Code 6,Contribution Source Amount 6,Contribution Source Code 7,Contribution Source Amount 7,Contribution Source Code 8,Contribution Source Amount 8,Final Contribution Indicator ,Loan Number 1 ,Loan Repayment Amount 1 ,Loan Number 2 ,Loan Repayment Amount 2 ,Loan Number 3 ,Loan Repayment Amount 3 ,Loan Number 4 ,Loan Repayment Amount 4 ,Loan Number 5 ,Loan Repayment Amount 5 ,HR Area,HR Sub Area ,Original Date of Hire ,Adjusted Date of Hire ,Employment Status ,Employment Sub Type,Employment Status Date ,Employee Type ,Payroll Mode ,Years of Service ,Months of Service ,Annual Salary ,Cash Bonus Amount ,Per Pay Compensation ,Per Pay Hours Worked ,Year to Date Type ,Year to Date Base Compensation,Year to Date Total Compensation,Year to Date Hours Worked,HCE Flag ,Key Employee Flag ,Union Employee Flag ,Employee Plan Status ,Plan Entry Date ,Vested Date ,Alternate Vesting Start Date ,Vesting Source Code 1 ,Vesting Percentage 1 ,Vesting Source Code 2,Vesting Percentage 2,Vesting Source Code 3,Vesting Percentage 3,"Contribution Source Code
1 ",cc,Per Pay Deferral Amount Ð CS1,"Contribution Source Code
2",Deferral Percentage Ð CS2,Per Pay Deferral Amount Ð CS2,"Contribution Source Code
3",Deferral Percentage Ð CS3,Per Pay Deferral Amount Ð CS3,Plan Annual Salary,Employer Contribution Eligibility Source 1,Employer Contribution Eligibility Date 1,Employer Contribution Eligibility Source 2,Employer Contribution Eligibility Date 2,Automatic Deferral Increase Type,Automatic Deferral Increase Election Date,Automatic Deferral Increase Next Increase Date,Automatic Deferral Increase End Date,Automatic Deferral Increase Frequency,Automatic Deferral Increase Amount,Automatic Deferral Increase Amount Maximum,Automatic Deferral Increase Percentage,Automatic Deferral Increase Percentage Maximum
D,NYU School of Medicine,13-5562309,407141,GS1,407141,GS1,407141,GS1,1,12,100000001,100000001,,Shannon,,Jenkins,61575 Elizabeth Turnpike,Suite 260, ,"Sheenafurt,",NH,31819,US,U,19920610,F,M, , , , , , ,Shannon.Jenkins@example.org,,20190415,C,3749.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141218,20141218,P, ,20141218,F,12,5,,81476.14,,6789.68,,F,,,,N,,,A,,,,,,,,,,,,,,,,,,,,,,,,OUT,,,,4,,,-,
D,NYU School of Medicine,13-5562309,151579,GS1,151579,GS1,151579,GS1,1,12,100000002,100000002,,Troy,,Mora,6975 Perez Ridges,Suite 979, ,"Chelseachester,",WV,70485,US,U,19991121,F,S, , , , , , ,Troy.Mora@example.org,,20190415,K,2909.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,20170618,20170618,T, ,20170618,L,12,2,,139352.12,,11612.68,,C,,,,Y,,,A,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,2,,,-,
D,NYU Langone Health System,47-2613531,151576,GS1,151576,GS1,151576,GS1,1,12,100000003,100000003,,Matthew,,Jones,523 Matthew Mall Apt. 670, , ,"Lake Elizabeth,",WA,88700,US,U,19990727,M,Q, , , , , , ,Matthew.Jones@example.org,,20190415,G,4827.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,20180503,20180503,T, ,20180503,F,12,1,,86622.9,,7218.57,,F,,,,Y,,,N,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,4,,,-,
D,NYU Hospitals Center,13-3971298,151576,GS1,151576,GS1,151576,GS1,1,12,100000004,100000004,,David,,Scott,5131 Taylor Alley, , ,"Jamestown,",ND,48767,US,U,19970426,F,M, , , , , , ,David.Scott@example.org,,20190415,Q,937.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,20180405,20180405,D,N,20180405,P,12,1,,69310.99,,5775.92,,F,,,,Y,,,X,,,,,,,,,,,,,,,,,,,,,,,,OUT,,,,1,,,-,
D,NYU Hospitals Center,13-3971298,407141,GA1,407141,GA1,407141,GA1,1,12,100000005,100000005,,Ricardo,,Hodges,6728 Fernandez Fields Apt. 889, , ,"Johnsonview,",WI,58022,US,U,19950615,F,Q, , , , , , ,Ricardo.Hodges@example.org,,20190415,I,1459.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,20181114,20181114,L, ,20181114,F,12,1,,97767.83,,8147.32,,P,,,,N,,,A,,,,,,,,,,,,,,,,,,,,,,,,AUTO,,,,1,,,-,
D,NYU School of Medicine,13-5562309,151576,GA1,151576,GA1,151576,GA1,1,12,100000006,100000006,,Justin,,Tyler,35055 Desiree Island Apt. 428, , ,"Manuelmouth,",KS,2443,US,U,19930102,M,P, , , , , , ,Justin.Tyler@example.org,,20190415,B,831.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,20130911,20130911,T, ,20130911,F,12,6,,139255.37,,11604.61,,F,,,,N,,,P,,,,,,,,,,,,,,,,,,,,,,,,OUT,,,,4,,,-,
D,NYU Hospitals Center,13-3971298,151579,GA1,151579,GA1,151579,GA1,1,12,100000007,100000007,,Corey,,Young,578 Anthony Gardens, , ,"North Justinville,",TN,85898,US,U,19990902,M,S, , , , , , ,Corey.Young@example.org,,20190415,K,2888.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,20180521,20180521,L, ,20180521,F,12,1,,97472.03,,8122.67,,F,,,,Y,,,X,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,1,,,-,
D,NYU Hospitals Center,13-3971298,151562,GA1,151562,GA1,151562,GA1,1,12,100000008,100000008,,Michelle,,Smith,57071 Bryant Locks, , ,"New Michael,",SC,75228,US,U,19950731,F,P, , , , , , ,Michelle.Smith@example.org,,20190415,E,7774.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140723,20140723,P,F,20140723,F,12,5,,125519.63,,10459.97,,C,,,,N,,,P,,,,,,,,,,,,,,,,,,,,,,,,OUT,,,,4,,,-,
D,NYU Hospitals Center,13-3971298,407141,GS1,407141,GS1,407141,GS1,1,12,100000009,100000009,,Cynthia,,Warren,889 Shaffer Corners,Suite 238, ,"Keithshire,",LA,12906,US,U,19960816,M,Q, , , , , , ,Cynthia.Warren@example.org,,20190415,I,8127.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,20171220,20171220,T, ,20171220,P,12,2,,110058.45,,9171.54,,P,,,,Y,,,E,,,,,,,,,,,,,,,,,,,,,,,,AUTO,,,,1,,,-,
D,NYU Langone Health System,47-2613531,151576,GS1,151576,GS1,151576,GS1,1,12,100000010,100000010,,Adam,,Long,0058 Kimberly Vista,Suite 794, ,"Rossburgh,",WI,35962,US,U,19900109,M,Q, , , , , , ,Adam.Long@example.org,,20190415,I,4393.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,20150401,20150401,E,P,20150401,P,12,4,,112443.54,,9370.3,,P,,,,N,,,A,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,1,,,-,
