SPARKH,4,NYU LANGONE MEDICAL CENTER,20190415-113500,Sample 123-456-7890,NYU LANGONE MEDICAL CENTER,2,20190415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detail Record ID ,Employer Name ,Employer EIN ,Employer Plan ID  ,Employer Sub Plan ID ,Originating Vendor Plan ID,Originating Vendor Sub Plan ID ,Recipient Vendor Plan ID ,Recipient Vendor Sub Plan ID ,Type of Account ,Payroll Frequency ,Employee SSN,Employee ID,,FIRST NAME,MIDDLE NAME,LAST NAME,street,Apt/Suit,,state,short form,zipcode,Country,Residency Code ,Employee DOB ,Gender ID,Marital Status ,Phone Number 1 ,Phone Number type,Phone Number 1 ,Phone Number type,Phone Number 1 ,Phone Number type,Business Email Address ,Personal Email Address  ,Payroll Date,Contribution Source Code 1 ,Contribution Source Amount 1,Contribution Source Code 2,Contribution Source Amount 2,Contribution Source Code 3,Contribution Source Amount 3,Contribution Source Code 4,Contribution Source Amount 4,Contribution Source Code 5,Contribution Source Amount 5,Contribution Source Code 6,Contribution Source Amount 6,Contribution Source Code 7,Contribution Source Amount 7,Contribution Source Code 8,Contribution Source Amount 8,Final Contribution Indicator ,Loan Number 1 ,Loan Repayment Amount 1 ,Loan Number 2 ,Loan Repayment Amount 2 ,Loan Number 3 ,Loan Repayment Amount 3 ,Loan Number 4 ,Loan Repayment Amount 4 ,Loan Number 5 ,Loan Repayment Amount 5 ,HR Area,HR Sub Area ,Original Date of Hire ,Adjusted Date of Hire ,Employment Status ,Employment Sub Type,Employment Status Date ,Employee Type ,Payroll Mode ,Years of Service ,Months of Service ,Annual Salary ,Cash Bonus Amount ,Per Pay Compensation ,Per Pay Hours Worked ,Year to Date Type ,Year to Date Base Compensation,Year to Date Total Compensation,Year to Date Hours Worked,HCE Flag ,Key Employee Flag ,Union Employee Flag ,Employee Plan Status ,Plan Entry Date ,Vested Date ,Alternate Vesting Start Date ,Vesting Source Code 1 ,Vesting Percentage 1 ,Vesting Source Code 1 ,Vesting Percentage 1 ,Vesting Source Code 1 ,Vesting Percentage 1 ,"Contribution Source Code
1 ",Deferral Percentage Ð CS1,Per Pay Deferral Amount Ð CS1,"Contribution Source Code
1 ",Deferral Percentage Ð CS1,Per Pay Deferral Amount Ð CS1,"Contribution Source Code
1 ",Deferral Percentage Ð CS1,Per Pay Deferral Amount Ð CS1,Plan Annual Salary,Employer Contribution Eligibility Source 1,Employer Contribution Eligibility Date 1,Employer Contribution Eligibility Source 1,Employer Contribution Eligibility Date 1,Automatic Deferral Increase Type,Automatic Deferral Increase Election Date,Automatic Deferral Increase Next Increase Date,Automatic Deferral Increase End Date,Automatic Deferral Increase Frequency,Automatic Deferral Increase Amount,Automatic Deferral Increase Amount Maximum,Automatic Deferral Increase Percentage,Automatic Deferral Increase Percentage Maximum
D,NYU Hospitals Center,13-3971298,407141,GA1,407141,GA1,407141,GA1,1,12,100000002,100000002,,Elizabeth,,Sullivan,6356 Lisa Drive,Apt. 104, ,Traceyport,SD,9723,US,U,19981111,M,M, , , , , , ,Elizabeth.Sullivan@example.org,,20190415,C,5104.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,20180915,20180915,P,N,20180915,T,12,1,,80926.04,,6743.84,,F,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,OUT,,,,4,,,,
D,NYU School of Medicine,13-5562309,151579,GS1,151579,GS1,151579,GS1,1,12,100000003,100000003,,Julie,,Cordova,258 Kirk Squares, , ,Jennaborough,MA,23816,US,U,19950131,M,S, , , , , , ,Julie.Cordova@example.org,,20190415,4,2636.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,20131114,20131114,R,,20131114,P,12,6,,124677.75,,10389.81,,C,,,,N,,,E,,,,,,,,,,,,,,,,,,,,,,,,AUTO,,,,2,,,,
D,NYU Hospitals Center,13-3971298,403401,GA1,403401,GA1,403401,GA1,1,12,100000004,100000004,,Matthew,,Knight,41350 Michelle Unions,Suite 716, ,Tammieshire,MD,64749,US,U,19950720,F,Q, , , , , , ,Matthew.Knight@example.org,,20190415,A,1412.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,20150227,20150227,L,,20150227,F,12,4,,56613.84,,4717.82,,F,,,,N,,,D,,,,,,,,,,,,,,,,,,,,,,,,AUTO,,,,4,,,,
D,NYU Hospitals Center,13-3971298,407140,GA1,407140,GA1,407140,GA1,1,12,100000005,100000005,,Johnny,,Johnson,409 Paul Cape, , ,Scottmouth,PA,41475,US,U,19960518,M,P, , , , , , ,Johnny.Johnson@example.org,,20190415,4,2337.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140222,20140222,T,,20140222,F,12,5,,79528.68,,6627.39,,C,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,AUTO,,,,2,,,,
D,NYU Hospitals Center,13-3971298,151562,GS1,151562,GS1,151562,GS1,1,12,100000006,100000006,,Denise,,Parker,USS Moore, , ,FPO,AP,73928,US,U,19900121,F,P, , , , , , ,Denise.Parker@example.org,,20190415,H,3589.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141003,20141003,E,U,20141003,F,12,5,,96576.84,,8048.07,,C,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,1,,,,
D,NYU Langone Health System,47-2613531,151562,GA1,151562,GA1,151562,GA1,1,12,100000007,100000007,,Spencer,,Merritt,46974 Samuel Road,Suite 306, ,Danielleberg,MO,59667,US,U,19980621,M,S, , , , , , ,Spencer.Merritt@example.org,,20190415,4,1117.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,20180224,20180224,E,,20180224,F,12,1,,72195.87,,6016.32,,F,,,,N,,,E,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,4,,,,
D,NYU Hospitals Center,13-3971298,407140,GS1,407140,GS1,407140,GS1,1,12,100000008,100000008,,Frank,,Thomas,1924 David Junctions,Apt. 579, ,Davidchester,AK,5357,US,U,19981026,M,S, , , , , , ,Frank.Thomas@example.org,,20190415,B,906.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,20160214,20160214,R,N,20160214,T,12,3,,79354.11,,6612.84,,F,,,,Y,,,P,,,,,,,,,,,,,,,,,,,,,,,,AUTO,,,,1,,,,
D,NYU Hospitals Center,13-3971298,151576,GA1,151576,GA1,151576,GA1,1,12,100000009,100000009,,Ashley,,Hall,30809 Phillip Pike,Apt. 131, ,New Lesliestad,MN,83860,US,U,19960606,M,M, , , , , , ,Ashley.Hall@example.org,,20190415,G,979.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140306,20140306,R,V,20140306,T,12,5,,83706.58,,6975.55,,F,,,,Y,,,A,,,,,,,,,,,,,,,,,,,,,,,,SELF,,,,2,,,,
D,NYU School of Medicine,13-5562309,403400,GA1,403400,GA1,403400,GA1,1,12,100000010,100000010,,Trevor,,Bonilla,906 Stewart Crossroad, , ,Marshallchester,WI,14323,US,U,19921215,M,M, , , , , , ,Trevor.Bonilla@example.org,,20190415,A,1047.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,20170421,20170421,P,F,20170421,T,12,2,,119986.3,,9998.86,,C,,,,N,,,A,,,,,,,,,,,,,,,,,,,,,,,,SELF,,,,4,,,,
D,NYU Hospitals Center,13-3971298,151576,GA1,151576,GA1,151576,GA1,1,12,100000011,100000011,,Thomas,,Welch,54155 Woods Crossroad, , ,Port Ronald,WV,48329,US,U,19970401,M,M, , , , , , ,Thomas.Welch@example.org,,20190415,K,772.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,20170105,20170105,L,I,20170105,T,12,2,,121325.57,,10110.46,,P,,,,N,,,E,,,,,,,,,,,,,,,,,,,,,,,,SELF,,,,4,,,,
